latitude,longitude,access,Building Name,,,clean names,ratings,clean ratings
43.73411115,-79.359378,Public,EDWARDS GARDENS CONCESSION AND SERVICE BUILDING,,,EDWARDS,Rating: 5/5,Clean
43.7324952,-79.358646,Public,EDWARDS GARDENS WASHROOM,,,EDWARDS,Rating: 5/5,Dirty
43.68595923,-79.505731,Staff,EGLINTON FLATS NORTHWEST SERVICE BUILDING,,,EGLINTON,Rating: 4/5,Dirty
43.68420771,-79.494788,Members,EGLINTON FLATS SOUTHEAST SPORTS PAVILION,,,EGLINTON,Rating: 0/5,Mediocre Clean
43.66233094,-79.581556,Members,ERINGATE PARK - Washroom Building,,,ERINGATE,Rating: 3/5,Clean
43.72796428,-79.581488,Public,ESTHER LORRIE FIELDHOUSE,,,ESTHER,No Rating,Clean
43.65284507,-79.492851,Public,ETIENNE BRULE PARK - Washroom Building,,,ETIENNE,Rating: 3/5,Dirty
43.60436945,-79.556812,Members,ETOBICOKE VALLEY PARK - Washroom Building,,,ETOBICOKE,Rating: 3/5,Mediocre Clean
43.68024586,-79.329999,Public,FELSTEAD AVENUE PLAYGROUND - Washroom Building,,,FELSTEAD,Rating: 2/5,Clean
43.65272185,-79.420396,Public,FRED HAMILTON PLAYGROUND - Washroom Building,,,FRED,Rating: 4/5,Dirty
43.77931453,-79.462227,Public,G. ROSS LORD PARK SPORTS PAVILLION,,,G.,Rating: 1/5,Clean
43.70069835,-79.300435,Public,GEORGE WEBSTER PARK - Washroom Building,,,GEORGE,No Rating,Mediocre Clean
43.77258278,-79.288074,Public,GLAMORGAN PARK - Washroom Building,,,GLAMORGAN,Rating: 4/5,Clean
43.66943585,-79.328684,Public,GREENWOOD PARK - Fieldhouse,,,GREENWOOD,Rating: 0/5,Dirty
43.75105238,-79.420403,Members,GWENDOLEN PARK TENNIS CLUBHOUSE,,,GWENDOLEN,Rating: 5/5,Clean
43.64010727,-79.375802,Public,HARBOUR SQUARE PARK LANDS - Fieldhouse,,,HARBOUR,Rating: 4/5,Mediocre Clean
43.78126056,-79.421323,Public,HENDON PARK TENNIS CLUBHOUSE,,,HENDON,Rating: 0/5,Dirty
43.64950509,-79.465792,Public,HIGH PARK OUTDOOR POOL BUILDING - BUILDING 5,,,HIGH,Rating: 1/5,Mediocre Clean
43.65285632,-79.466391,Public,HIGH PARK CHESS HOUSE - BUILDING 1,,,HIGH,Rating: 3/5,Dirty
43.64065803,-79.460073,Public,HIGH PARK COLBORNE LODGE COACH HOUSE - BUILDING 18,,,HIGH,No Rating,Dirty
43.64366457,-79.467,Public,HIGH PARK LOWER HILLSIDE PUBLIC WASHROOMS AND PICNIC SHELTER - BUILDING 13,,,HIGH,Rating: 4/5,Clean
43.64174995,-79.461371,Public,HIGH PARK TEACHING KITCHEN WASHROOM BUILDING - BUILDING 17,,,HIGH,No Rating,Clean
43.64510606,-79.466897,Public,HIGH PARK UPPER HILLSIDE PUBLIC WASHROOMS - BUILDING 12,,,HIGH,Rating: 3/5,Clean
43.64440489,-79.457217,Public,HIGH PARK WASHROOM BUILDING - BUILDING 39,,,HIGH,Rating: 1/5,Dirty
43.70223947,-79.258653,Private,HIGHVIEW PARK - Washroom Building,,,HIGHVIEW,No Rating,Mediocre Clean
43.67593751,-79.425433,Public,HILLCREST PARK - Fieldhouse,,,HILLCREST,Rating: 5/5,Dirty
43.76017756,-79.436019,Public,HINDER AREA - Washroom Building,,,HINDER,No Rating,Dirty
43.65855864,-79.5013,Public,HOME SMITH PARK - Washroom Building,,,HOME,Rating: 3/5,Mediocre Clean
43.7111404,-79.373929,Private,HOWARD TALBOT PARK - Washroom Building,,,HOWARD,Rating: 4/5,Mediocre Clean
43.80330445,-79.267976,Private,IROQUOIS PARK - Fieldhouse,,,IROQUOIS,Rating: 3/5,Mediocre Clean
43.67161591,-79.514811,Public,JAMES GARDENS WASHROOM,,,JAMES,Rating: 4/5,Dirty
43.67172223,-79.408855,Public,JEAN SIBELIUS SQUARE - Fieldhouse,,,JEAN,Rating: 3/5,Clean
43.7002781,-79.388213,Public,DAVISVILLE TENNIS CLUBHOUSE,,,DAVISVILLE,Rating: 0/5,Dirty
43.6899406,-79.482577,Private,KEELESDALE NORTH PARK - Fieldhouse,,,KEELESDALE,Rating: 0/5,Dirty
43.66657292,-79.297304,Public,KEW BEACH LAWN BOWLING CLUB,,,KEW,Rating: 5/5,Clean
43.66927847,-79.299956,Public,KEW GARDENS PLAYGROUND WASHROOM,,,KEW,Rating: 5/5,Mediocre Clean
43.81010927,-79.304411,Public,L'AMOREAUX NORTH PARK FIELDHOUSE,,,L'AMOREAUX,Rating: 1/5,Dirty
43.80702322,-79.309435,Public,KIDSTOWN,,,KIDSTOWN,Rating: 5/5,Mediocre Clean
43.72079089,-79.399021,Members,LAWRENCE PARK TENNIS CLUBHOUSE,,,LAWRENCE,Rating: 0/5,Dirty
43.66267514,-79.333662,Public,LESLIE GROVE PARK - Fieldhouse,,,LESLIE,Rating: 0/5,Dirty
43.65900802,-79.464038,Public,LITHUANIA PARK - Fieldhouse,,,LITHUANIA,Rating: 3/5,Mediocre Clean
43.63406788,-79.398397,Public,LITTLE NORWAY PARK FIELDHOUSE AND PUBLIC WASHROOM,,,LITTLE,Rating: 1/5,Clean
43.71495442,-79.410881,Members,LYTTON PARK LAWN BOWLING CLUB,,,LYTTON,Rating: 3/5,Dirty
43.71529366,-79.410747,Public,LYTTON PARK TENNIS CLUBHOUSE,,,LYTTON,Rating: 0/5,Dirty
43.65313642,-79.441803,Public,MACGREGOR PLAYGROUND - Fieldhouse,,,MACGREGOR,No Rating,Clean
43.58573823,-79.541432,Public,MARIE CURTIS PARK CONCESSION,,,MARIE,Rating: 2/5,Mediocre Clean
43.5876958,-79.54305,Public,MARIE CURTIS PARK - Washroom Building,,,MARIE,Rating: 4/5,Clean
43.65338408,-79.340694,Public,MCCLEARY PARK FIELDHOUSE AND WASHROOM,,,MCCLEARY,Rating: 0/5,Dirty
43.83004992,-79.271865,Public,MILLIKEN DISTRICT PARK WASHROOM AND CONCESSION BUILDING,,,MILLIKEN,No Rating,Dirty
43.63146596,-79.577322,Private,MILLWOOD PARK - Washroom Building,,,MILLWOOD,Rating: 0/5,Mediocre Clean
43.65656653,-79.339873,Public,MORSE STREET PLAYGROUND - Fieldhouse,,,MORSE,Rating: 4/5,Mediocre Clean
43.65212799,-79.383971,Public,NATHAN PHILLIPS SQUARE A.I.R. BUILDING,,,NATHAN,Rating: 3/5,Dirty
43.81359515,-79.224356,Public,NEILSON PARK - SCARBOROUGH - Fieldhouse,,,NEILSON,No Rating,Clean
43.74763687,-79.496866,Public,NORTHWOOD PARK - Washroom Building,,,NORTHWOOD,No Rating,Clean
43.68205163,-79.302776,Public,NORWOOD PARK - Fieldhouse,,,NORWOOD,Rating: 2/5,Clean
43.69717606,-79.399486,Public,ORIOLE PARK - TORONTO - Washroom Building,,,ORIOLE,Rating: 4/5,Mediocre Clean
43.66643949,-79.301898,Public,PANTRY PARK FIELDHOUSE AND WASHROOM,,,PANTRY,Rating: 2/5,Clean
43.66397273,-79.45295,Public,PERTH SQUARE PARK - Washroom Building,,,PERTH,Rating: 5/5,Clean
43.77672533,-79.134774,Public,PORT UNION VILLAGE COMMON PARK - Washroom Building,,,PORT,Rating: 1/5,Mediocre Clean
43.69721942,-79.283947,Private,PRAIRIE DRIVE PARK - Washroom Building,,,PRAIRIE,Rating: 0/5,Clean
43.62656536,-79.505592,Members,QUEENSWAY PARK A.I.R. BUILDING,,,QUEENSWAY,Rating: 3/5,Mediocre Clean
43.67619549,-79.392242,Public,RAMSDEN PARK A.I.R. BUILDING,,,RAMSDEN,Rating: 5/5,Clean
43.67620586,-79.394965,Public,RAMSDEN PARK - Washroom Building,,,RAMSDEN,No Rating,Clean
43.66773396,-79.355585,Public,RIVERDALE PARK EAST - Fieldhouse,,,RIVERDALE,Rating: 2/5,Mediocre Clean
43.66738966,-79.360054,Public,RIVERDALE FARM THE MEETING HOUSE,,,RIVERDALE,Rating: 5/5,Dirty
43.66528559,-79.359432,Public,RIVERDALE PARK WEST - Washroom Building,,,RIVERDALE,Rating: 4/5,Clean
43.68331292,-79.379132,Private,ROSEDALE PARK TENNIS CLUBHOUSE,,,ROSEDALE,Rating: 5/5,Clean
43.69683674,-79.256271,Public,ROSETTA MCCLAIN GARDENS - Washroom Building,,,ROSETTA,Rating: 2/5,Dirty
43.75219004,-79.577892,Public,ROWNTREE MILLS PARK - Maintenance Building,,,ROWNTREE,Rating: 3/5,Mediocre Clean
43.7641261,-79.320739,Members,ROYWOOD PARK TENNIS CLUBHOUSE,,,ROYWOOD,Rating: 3/5,Clean
43.7472918,-79.212969,Private,SCARBOROUGH VILLAGE PARK - Fieldhouse,,,SCARBOROUGH,No Rating,Clean
43.71862545,-79.357039,Public,SERENA GUNDY PARK - Washroom Building,,,SERENA,Rating: 2/5,Dirty
43.78794079,-79.210066,Public,SEVEN OAKS PARK - Fieldhouse,,,SEVEN,Rating: 0/5,Dirty
43.6024245,-79.547466,Public,SIR ADAM BECK PARK A.I.R. BUILDING,,,SIR,Rating: 0/5,Clean
43.63513752,-79.465769,Public,SIR CASIMIR GZOWSKI PARK - Fieldhouse,,,SIR,Rating: 5/5,Mediocre Clean
43.68433366,-79.408427,Public,SIR WINSTON CHURCHILL PARK TENNIS CLUBHOUSE,,,SIR,Rating: 5/5,Mediocre Clean
43.64276864,-79.409312,Public,STANLEY PARK NORTH - TORONTO - Storage Building,,,STANLEY,No Rating,Clean
43.728171,-79.552409,Public,SUMMERLEA PARK A.I.R. BUILDING,,,SUMMERLEA,No Rating,Mediocre Clean
43.72288436,-79.362671,Public,SUNNYBROOK YARD,,,SUNNYBROOK,Rating: 0/5,Mediocre Clean
43.72561797,-79.357661,Public,SUNNYBROOK PARK - SPORTS PAVILION,,,SUNNYBROOK,Rating: 3/5,Mediocre Clean
43.63780963,-79.457044,Public,SUNNYSIDE PARK BATHING PAVILLION,,,SUNNYSIDE,No Rating,Dirty
43.69664426,-79.298389,Public,TAYLOR CREEK PARK - Washroom Building (  1),,,TAYLOR,Rating: 1/5,Clean
43.75910264,-79.255052,Public,THOMSON MEMORIAL PARK - Washroom Building (  1),,,THOMSON,Rating: 2/5,Clean
43.7575634,-79.255324,Public,THOMSON MEMORIAL PARK - Washroom Building (  2),,,THOMSON,Rating: 4/5,Mediocre Clean
43.61942971,-79.373838,Public,CAROUSEL CAFƒ RESTAURANT - BUILDING 30,,,CAROUSEL,Rating: 2/5,Dirty
43.6193269,-79.372484,Public,FARMERS COTTAGE STORAGE BUILDING - BUILDING 31,,,FARMERS,Rating: 3/5,Dirty
43.61772518,-79.375894,Public,CENTRE ISLAND PARK PUBLIC WASHROOMS - BUILDING 15,,,CENTRE,Rating: 1/5,Dirty
43.6175016,-79.375698,Public,CENTRE ISLAND PARK SNACK BAR - BUILDING 14,,,CENTRE,Rating: 3/5,Mediocre Clean
43.61700881,-79.371933,Public,CENTRE ISLAND PARK PIER SNACKBAR AND BIKE RENTAL - BUILDING 19,,,CENTRE,Rating: 4/5,Mediocre Clean
43.61669106,-79.372595,Public,CENTRE ISLAND PARK WASHROOM AND BATHING STATION - BUILDING 18,,,CENTRE,No Rating,Mediocre Clean
43.6175675,-79.376892,Public,CENTRE ISLAND PARK WASHROOM - BUILDING 21,,,CENTRE,No Rating,Mediocre Clean
43.62743736,-79.389284,Public,HANLAN'S POINT PARK WASHROOM AND SHELTER - BUILDING 1,,,HANLAN'S,Rating: 4/5,Mediocre Clean
43.62445169,-79.389471,Public,HANLAN'S POINT PARK WASHROOM AND SHELTER - BUILDING 3,,,HANLAN'S,Rating: 2/5,Clean
43.61212076,-79.388884,Public,HANLAN'S POINT PARK GIBRALTAR POINT WASHROOM - BUILDING 12,,,HANLAN'S,Rating: 3/5,Dirty
43.61913351,-79.391115,Public,HANLAN'S POINT PARK WASHROOM AND SHELTER - BUILDING 8,,,HANLAN'S,Rating: 0/5,Clean
43.62336497,-79.378639,Public,ISLAND PARK PARADISE RESTAURANT - BUILDING 39,,,ISLAND,Rating: 2/5,Clean
43.62027855,-79.376307,Public,ISLAND PARK WASHROOM - BUILDING 35,,,ISLAND,Rating: 2/5,Mediocre Clean
43.62231261,-79.379074,Public,ISLAND PARK WASHROOM AND SHELTER - BUILDING 38,,,ISLAND,No Rating,Clean
43.61380135,-79.381613,Staff,ISLAND PARK WHITE HOUSE - BUILDING 26,,,ISLAND,Rating: 0/5,Dirty
43.62356495,-79.381752,Private,ISLAND PARK MARINA WASHROOM (  1) - BUILDING 33,,,ISLAND,No Rating,Mediocre Clean
43.62036733,-79.373115,Public,ISLAND PARK CENTREVILLE WASHROOM - BUILDING 34,,,ISLAND,Rating: 5/5,Clean
43.62440413,-79.383599,Private,ISLAND PARK MARINA WASHROOM (  2),,,ISLAND,Rating: 4/5,Dirty
43.62329584,-79.373683,Public,OLYMPIC ISLAND PARK WASHROOMS - BUILDING 47,,,OLYMPIC,Rating: 1/5,Dirty
43.63106643,-79.357068,Public,WARD'S ISLAND FERRY DOCK WAITING HOUSE,,,WARD'S,No Rating,Mediocre Clean
43.62074109,-79.365291,Public,"WARD'S ISLAND ""CHIPPEWA HOUSE"" - BUILDING 68",,,WARD'S,Rating: 2/5,Clean
43.62885384,-79.355553,Public,WARD'S ISLAND PARK SUNSHINE CENTRE FOR SENIORS - BUILDING 64,,,WARD'S,No Rating,Clean
43.63125967,-79.353808,Public,WARD'S ISLAND PARK WASHROOM - BUILDING 60,,,WARD'S,Rating: 0/5,Clean
43.77659021,-79.506974,Public,TORONTO TRACK AND FIELD CENTRE,,,TORONTO,Rating: 0/5,Clean
43.75105109,-79.400595,Members,TOURNAMENT PARK TENNIS CLUBHOUSE,,,TOURNAMENT,Rating: 0/5,Clean
43.64953473,-79.413687,Public,TRINITY BELLWOODS PARK - Washroom Building (  2),,,TRINITY,Rating: 1/5,Clean
43.64906277,-79.415094,Public,TRINITY BELLWOODS PARK - Washroom Building (  1),,,TRINITY,Rating: 4/5,Clean
43.72882539,-79.391878,Public,WANLESS PARK - Fieldhouse,,,WANLESS,Rating: 1/5,Clean
43.64455301,-79.54755,Public,WEDGEWOOD PARK A.I.R. BUILDING,,,WEDGEWOOD,Rating: 5/5,Clean
43.65711402,-79.573793,Members,WELLESWORTH PARK - Washroom Building,,,WELLESWORTH,No Rating,Mediocre Clean
43.6823371,-79.416343,Public,WELLS HILL PARK - Washroom Building,,,WELLS,Rating: 3/5,Mediocre Clean
43.66083807,-79.557552,Members,WEST DEANE PARK - Washroom Building,,,WEST,Rating: 0/5,Clean
43.73367211,-79.297183,Public,WEXFORD PARK - Fieldhouse,,,WEXFORD,Rating: 4/5,Mediocre Clean
43.72143809,-79.352997,Public,WILKET CREEK PARK WASHROOM AND MAINTENANCE BUILDING,,,WILKET,Rating: 5/5,Clean
43.76983933,-79.316965,Public,WISHING WELL PARK - Fieldhouse,,,WISHING,No Rating,Mediocre Clean
43.6747044,-79.346394,Public,WITHROW PARK - Washroom Building,,,WITHROW,Rating: 0/5,Dirty
43.67586843,-79.348005,Public,WITHROW PARK CLUBHOUSE,,,WITHROW,Rating: 2/5,Dirty
43.67567468,-79.34743,Public,WITHROW PARK NORTH WASHROOM BUILDING,,,WITHROW,Rating: 3/5,Mediocre Clean
43.67289284,-79.345616,Public,WITHROW PARK SOUTH WASHROOM BUILDING,,,WITHROW,Rating: 1/5,Mediocre Clean
43.66496518,-79.304712,Public,DONALD D. SUMMERVILLE OLYMPIC POOLS,,,DONALD,Rating: 3/5,Mediocre Clean
43.66274627,-79.307918,Public,WOODBINE BATHING STATION,,,WOODBINE,Rating: 1/5,Mediocre Clean
43.66486137,-79.312223,Public,WOODBINE PARK - Fieldhouse,,,WOODBINE,Rating: 1/5,Mediocre Clean
